500,"1,400"
600,"1,540"
700,"1,680"
800,"1,820"
900,"1,960"
1000,"2,100"
1100,"2,400"
1200,"2,700"
1300,"3,000"
1400,"3,300"
1500,"3,800"
1600,"4,300"
1700,"4,800"
1800,"5,300"
1900,"5,800"
2000,"6,300"
2100,"6,800"
2200,"7,300"
2300,"8,100"
2400,"8,900"
2500,"9,700"
2600,"10,500"
2700,"11,300"
2800,"12,100"
2900,"12,900"
3000,"13,700"
3100,"14,500"
3200,"15,300"
3300,"16,100"
3400,"16,900"
3500,"17,700"
3600,"18,500"
3700,"19,300"
3800,"20,100"
3900,"20,900"
4000,"21,700"
4100,"22,500"
4200,"23,300"
4300,"24,100"
4400,"24,900"
4500,"25,700"
4600,"26,500"
4700,
4800,
4900,
5000,